cp,poblacion_estimada,zona,metodo
5000,1505250,Cordoba,poblacion 2022 de todo el Depto. Capital (censo no desagrega por localidad)
2000,1348725,Santa Fe,poblacion 2022 de todo el Depto. Rosario (censo no desagrega por localidad)
1900,755233,Buenos Aires,poblacion 2022 de la(s) localidad(es) censal(es) que corresponden a ese CP
7600,667082,Buenos Aires,poblacion 2022 de todo el partido (censo no desagrega por localidad en este archivo)
4400,627704,Salta,poblacion 2022 de todo el Depto. Capital (censo no desagrega por localidad)
4000,590342,Tucuman,poblacion 2022 de todo el Depto. Capital (censo no desagrega por localidad)
3000,572265,Santa Fe,poblacion 2022 de todo el Depto. La Capital (censo no desagrega por localidad)
1888,488103,Buenos Aires,poblacion 2022 de la(s) localidad(es) censal(es) que corresponden a ese CP
8300,468794,Neuquen,poblacion 2022 de todo el Depto. Confluencia (censo no desagrega por localidad)
3400,439270,Corrientes,poblacion 2022 de todo el Depto. Capital (censo no desagrega por localidad)
3500,416140,Chaco,poblacion 2022 de todo el Depto. San Fernando (censo no desagrega por localidad)
8000,336557,Buenos Aires,poblacion 2022 de todo el partido (censo no desagrega por localidad en este archivo)
1665,295236,Buenos Aires,poblacion 2022 de la(s) localidad(es) censal(es) que corresponden a ese CP
1722,289536,Buenos Aires,poblacion 2022 de la(s) localidad(es) censal(es) que corresponden a ese CP
1407,242181,CABA,"reparto proporcional: poblacion de cada barrio / cantidad de CP que habilita, sumado por CP"
1824,215823,Buenos Aires,poblacion 2022 de la(s) localidad(es) censal(es) que corresponden a ese CP
5300,211651,La Rioja,poblacion 2022 de todo el Depto. Capital (censo no desagrega por localidad)
1763,207478,Buenos Aires,poblacion 2022 de la(s) localidad(es) censal(es) que corresponden a ese CP
1744,195044,Buenos Aires,poblacion 2022 de la(s) localidad(es) censal(es) que corresponden a ese CP
2300,190577,Santa Fe,poblacion 2022 de todo el Depto. Castellanos (censo no desagrega por localidad)
8400,162088,Rio Negro,poblacion 2022 de todo el Depto. Bariloche (censo no desagrega por localidad)
5730,148875,San Luis,poblacion 2022 de todo el Depto. General Pedernera (censo no desagrega por localidad)
9100,145763,Chubut,poblacion 2022 de todo el Depto. Rawson (censo no desagrega por localidad)
1716,117049,Buenos Aires,poblacion 2022 de la(s) localidad(es) censal(es) que corresponden a ese CP
1406,110829,CABA,"reparto proporcional: poblacion de cada barrio / cantidad de CP que habilita, sumado por CP"
1712,110684,Buenos Aires,poblacion 2022 de la(s) localidad(es) censal(es) que corresponden a ese CP
2800,109443,Buenos Aires,poblacion 2022 de la(s) localidad(es) censal(es) que corresponden a ese CP
1704,109081,Buenos Aires,poblacion 2022 de la(s) localidad(es) censal(es) que corresponden a ese CP
1429,102288,CABA,"reparto proporcional: poblacion de cada barrio / cantidad de CP que habilita, sumado por CP"
1678,98221,Buenos Aires,poblacion 2022 de la(s) localidad(es) censal(es) que corresponden a ese CP
2804,97991,Buenos Aires,poblacion 2022 de la(s) localidad(es) censal(es) que corresponden a ese CP
1881,93568,Buenos Aires,poblacion 2022 de la(s) localidad(es) censal(es) que corresponden a ese CP
1852,92915,Buenos Aires,poblacion 2022 de la(s) localidad(es) censal(es) que corresponden a ese CP
1615,88891,Buenos Aires,poblacion 2022 de la(s) localidad(es) censal(es) que corresponden a ese CP
1875,87414,Buenos Aires,poblacion 2022 de la(s) localidad(es) censal(es) que corresponden a ese CP
1425,81349,CABA,"reparto proporcional: poblacion de cada barrio / cantidad de CP que habilita, sumado por CP"
1427,78646,CABA,"reparto proporcional: poblacion de cada barrio / cantidad de CP que habilita, sumado por CP"
1430,78368,CABA,"reparto proporcional: poblacion de cada barrio / cantidad de CP que habilita, sumado por CP"
1609,76254,Buenos Aires,poblacion 2022 de la(s) localidad(es) censal(es) que corresponden a ese CP
1613,63293,Buenos Aires,poblacion 2022 de la(s) localidad(es) censal(es) que corresponden a ese CP
1686,62040,Buenos Aires,poblacion 2022 de la(s) localidad(es) censal(es) que corresponden a ese CP
1828,61072,Buenos Aires,poblacion 2022 de la(s) localidad(es) censal(es) que corresponden a ese CP
1752,60675,Buenos Aires,poblacion 2022 de la(s) localidad(es) censal(es) que corresponden a ese CP
1617,57183,Buenos Aires,poblacion 2022 de la(s) localidad(es) censal(es) que corresponden a ese CP
1405,40605,CABA,"reparto proporcional: poblacion de cada barrio / cantidad de CP que habilita, sumado por CP"
1653,40005,Buenos Aires,poblacion 2022 de la(s) localidad(es) censal(es) que corresponden a ese CP
1408,39614,CABA,"reparto proporcional: poblacion de cada barrio / cantidad de CP que habilita, sumado por CP"
